customer_id,first_name,last_name,email,address,city,state,zip_code,country
1000000,Nathaniel,Walton,gcruz@example.org,"29759 Cameron Pike
North Jeremy, AR 99911",South Jason,Washington,79862,Turkmenistan
1000001,Kelly,Rios,kentrodriguez@example.net,"37144 Fuller Motorway Apt. 846
Pughmouth, GA 77871",Doyleside,Illinois,41714,Dominican Republic
1000002,Cindy,Lewis,martinamy@example.org,"251 Michael Green
Wilsonborough, VI 22474",North Kimberlyport,Alabama,15713,Cameroon
1000003,Thomas,Cohen,stephanie73@example.com,"2777 Brooks Manor
Port Melissa, OH 13073",Pattersonhaven,Connecticut,20632,Cote d'Ivoire
1000004,Jennifer,Vargas,jacob32@example.net,"3218 Jessica Meadows Apt. 676
Caldwellborough, CT 65226",Shaneville,Louisiana,81551,Holy See (Vatican City State)
1000005,Julia,Johnson,bstevens@example.net,"5915 Williams Village
Bakerstad, WA 37674",West Wesley,West Virginia,42779,Burundi
1000006,Julie,Armstrong,harmonemily@example.net,"63834 Robert Neck
Julianhaven, MO 48662",West Shanemouth,West Virginia,85879,Jordan
1000007,Andrew,Navarro,znelson@example.net,"23067 Mcneil Village Apt. 943
East Michael, VT 89923",West Robert,Vermont,48099,Cuba
1000008,Tiffany,Gray,lglass@example.org,"561 Joshua Knoll Apt. 819
Ashleyport, HI 68568",Phamfurt,California,51750,United States Virgin Islands
1000009,Shirley,Robinson,awebb@example.net,"97539 Dwayne Roads Suite 469
Johnsonmouth, LA 85240",South Christinafort,Massachusetts,40586,Afghanistan
1000010,Jessica,Aguirre,udavidson@example.net,"99545 Torres Turnpike Suite 527
New Rachel, VI 93270",North Richard,Georgia,00837,Egypt
1000011,Richard,Cross,angela84@example.net,"52575 Ashley Squares
Lake Albertbury, MH 08459",Aprilton,Rhode Island,87142,Antigua and Barbuda
1000012,Nicole,Raymond,nielsencynthia@example.com,"228 Murillo Squares Suite 233
East Melvinport, MD 54215",Markstad,Connecticut,98316,Peru
1000013,Kimberly,Velasquez,wilcoxmichael@example.com,"96724 Jones Drive
Richardstad, DE 75061",North Johnview,Minnesota,94084,Anguilla
1000014,Ann,Cook,elizabeththompson@example.com,"153 Lee Ferry Apt. 565
North Adam, ME 50532",West Branditon,Michigan,06020,Bahamas
1000015,Sandra,Barr,seth39@example.com,"6059 Daniel Lane
Lake Gina, MA 61566",Harperside,Indiana,94118,Papua New Guinea
1000016,Robert,David,bhammond@example.com,"2508 Angela Village
Danachester, MS 63554",West Annamouth,New Jersey,07312,Saint Martin
1000017,Michael,Stokes,abeck@example.org,"1818 Cain Street
Josephfurt, PA 61612",Lake Thomaschester,Ohio,79518,Liberia
1000018,Michael,Clayton,claytondalton@example.net,"80022 Hudson Station
South Bonnie, AR 68365",Lake Danielton,Arizona,77196,Austria
1000019,Margaret,Kim,maxsmith@example.net,"3942 Leonard Avenue Suite 795
Kaylabury, KY 29664",South Megan,Utah,61942,Italy
1000020,Andrea,Goodman,cbeasley@example.com,"02865 Cox Pines
Maysstad, GA 61137",West Carlosbury,Indiana,30013,Albania
1000021,Vincent,Lawson,whiteashley@example.org,"812 Sarah Spring
Coxshire, WY 42355",East Cassandratown,Iowa,37606,Cayman Islands
1000022,Dana,Weber,michaelgrant@example.org,"78517 Nicole Overpass Suite 491
Horntown, DC 01799",Woodschester,Mississippi,72845,Senegal
1000023,Tommy,Price,jonessara@example.net,"00269 Brittany Plains
Warrenport, ME 68075",Douglasport,Maine,22165,Reunion
1000024,Timothy,Bell,andreawilson@example.com,"6175 Jennifer Green Apt. 734
West Christopher, VA 44267",East Kylietown,Massachusetts,58419,Cook Islands
1000025,Shannon,Gonzalez,randyadams@example.com,"9257 Barber Highway Suite 259
New Catherineland, ND 41710",East Charlestown,Washington,17501,Mali
1000026,Kimberly,Young,morganweber@example.org,"62573 Johnson Drive
Taylorshire, WY 22323",Sheilaland,Louisiana,74172,Botswana
1000027,Pamela,Freeman,qgraham@example.com,"USNV Wright
FPO AA 12867",West Tracyview,New Mexico,55890,Lebanon
1000028,Tara,Mcdonald,brianwilson@example.net,"627 Vanessa Manors Suite 918
Lake Christychester, SD 69522",New Andrewfort,Nebraska,10122,Cook Islands
1000029,Tammy,Williams,zgarcia@example.com,"Unit 9347 Box 5520
DPO AA 65865",Port Cesarfort,North Carolina,44547,Bhutan
1000030,Shane,Kelley,zhernandez@example.net,"83442 Sara View
Lake Douglasville, MO 43715",Leeborough,Washington,99207,Azerbaijan
1000031,Nicholas,Fox,jessicathomas@example.net,"368 John Stravenue
Hallstad, OR 05784",East Daniel,Nevada,95490,Moldova
1000032,Kathleen,Wagner,lancetucker@example.net,"8108 Laurie Plaza Apt. 864
Anthonyhaven, LA 42296",Sheppardmouth,New York,67146,Micronesia
1000033,Brett,Serrano,patricia97@example.org,"034 Jones Forest Apt. 957
Gabrielleport, AK 04270",Brownland,Maine,13272,Cameroon
1000034,Victoria,Day,jordandeborah@example.org,"55647 Matthew Walks Suite 686
Brianland, NJ 73569",New Karenville,California,56406,Jamaica
1000035,Michael,Cole,pamelakelly@example.com,"USCGC Gordon
FPO AA 58291",South Gabriela,South Carolina,46424,Rwanda
1000036,Donald,Scott,wharrison@example.com,"1111 Gomez Oval
West Micheleshire, KY 05489",Port Sydneyberg,Colorado,82292,Tanzania
1000037,Michael,Gaines,dhughes@example.com,"USS Gilbert
FPO AE 05871",Castromouth,Indiana,82397,Suriname
1000038,Penny,Juarez,michelle55@example.com,"612 Heather Lights
New Joseph, KS 41079",South Thomasland,North Carolina,31695,Australia
1000039,Kathy,Burnett,ashleymunoz@example.com,"575 Lewis Station
Rossland, KY 68533",Ericafort,Florida,02918,Malawi
1000040,James,Smith,gregory53@example.org,"67204 Debra Centers Apt. 510
Port Matthew, MO 99432",Mariatown,Ohio,31835,Benin
1000041,Kevin,Peters,meltonadam@example.com,"USNV Trujillo
FPO AE 32077",Robertmouth,Arizona,34712,United States Virgin Islands
1000042,Christopher,Newton,kmaldonado@example.net,"35903 Pratt Prairie Suite 598
Patrickburgh, MP 69821",Port Joefurt,Pennsylvania,63664,Kenya
1000043,Megan,Evans,david04@example.com,"1802 Whitney Forges
Hughesstad, NH 76370",Melissaside,West Virginia,60647,Montserrat
1000044,Tracy,Cooper,nicolethomas@example.org,"0219 Carter Landing Apt. 967
Vazquezview, CT 33146",Sharonview,Idaho,75306,Niue
1000045,Mary,Cruz,ronald96@example.com,"90372 Latasha Turnpike
Brooketown, AZ 40985",East Andrew,Wyoming,27223,Kuwait
1000046,Krista,Hernandez,aliciaevans@example.org,"36846 Linda Views
Gardnerside, AS 79604",Matthewberg,Iowa,97673,Morocco
1000047,Laura,Johnson,mejiadonna@example.com,"7298 Kayla Club Suite 019
New Emily, LA 90186",West Brianport,Indiana,18688,Maldives
1000048,Tammy,Jimenez,kimerica@example.net,"095 Chaney Cape
Lake Juliehaven, RI 99402",Smithburgh,Missouri,83723,Myanmar
1000049,Brian,Oneal,ashley79@example.com,"9772 Allison Ferry Suite 580
Lake Michael, PW 56120",Port Johnburgh,Massachusetts,06126,Morocco
